,TestGesamt,MeldeDatum,FZHosp,FZICU,FZHospFree,FZICUFree,BundeslandID,Bundesland,Hospitalizations_total,ICU_capacity,ICU_perc
0,0,2020-04-01,7,3,12,3,1,Burgenland,10,6,50.0
1,0,2020-04-01,18,11,1048,119,2,Kärnten,29,130,8.5
2,9395,2020-04-01,164,36,3854,157,3,Niederösterreich,200,193,18.7
3,0,2020-04-01,113,29,4408,116,4,Oberösterreich,142,145,20.0
4,7439,2020-04-01,56,10,1267,85,5,Salzburg,66,95,10.5
5,0,2020-04-01,138,27,2924,162,6,Steiermark,165,189,14.3
6,0,2020-04-01,156,57,700,102,7,Tirol,213,159,35.8
7,0,2020-04-01,39,12,500,84,8,Vorarlberg,51,96,12.5
8,0,2020-04-01,165,30,0,0,9,Wien,195,30,100.0
9,16834,2020-04-01,856,215,14713,828,10,Alle,1071,1043,20.6
10,1265,2020-04-02,10,3,530,37,1,Burgenland,13,40,7.5
11,4078,2020-04-02,17,1,728,75,2,Kärnten,18,76,1.3
12,9982,2020-04-02,160,43,3842,127,3,Niederösterreich,203,170,25.3
13,15740,2020-04-02,107,31,4421,137,4,Oberösterreich,138,168,18.5
14,8046,2020-04-02,52,13,1441,82,5,Salzburg,65,95,13.7
15,9127,2020-04-02,121,28,2941,151,6,Steiermark,149,179,15.6
16,21051,2020-04-02,159,56,728,105,7,Tirol,215,161,34.8
17,4021,2020-04-02,39,12,500,33,8,Vorarlberg,51,45,26.7
18,18880,2020-04-02,158,32,0,0,9,Wien,190,32,100.0
19,92190,2020-04-02,823,219,15131,747,10,Alle,1042,966,22.7
20,1375,2020-04-03,8,4,497,22,1,Burgenland,12,26,15.4
21,4303,2020-04-03,17,11,737,80,2,Kärnten,28,91,12.1
22,10566,2020-04-03,160,43,3842,127,3,Niederösterreich,203,170,25.3
23,17287,2020-04-03,102,33,4496,101,4,Oberösterreich,135,134,24.6
24,8783,2020-04-03,59,14,1330,81,5,Salzburg,73,95,14.7
25,9694,2020-04-03,134,30,2956,151,6,Steiermark,164,181,16.6
26,22328,2020-04-03,154,55,740,106,7,Tirol,209,161,34.2
27,4389,2020-04-03,39,12,481,27,8,Vorarlberg,51,39,30.8
28,19618,2020-04-03,156,43,0,0,9,Wien,199,43,100.0
29,98343,2020-04-03,829,245,15079,695,10,Alle,1074,940,26.1
30,1486,2020-04-04,7,3,528,23,1,Burgenland,10,26,11.5
31,4509,2020-04-04,21,11,730,82,2,Kärnten,32,93,11.8
